file,size
1018647333.txt,34.049
1018889093.txt,15.729
1018893474.txt,11.133
1019513684.txt,14.93
1021757151.txt,1.667
1024334440.txt,1.563
1029248202.txt,4.888
1029966978.txt,1.723
1031762366.txt,2.629
1031923640.txt,4.67
1033599602.txt,2.195
1034341705.txt,1.349
1035838207.txt,5.997
1036182485.txt,10.364
1036591086.txt,1.647
1037241376.txt,3.572
1037394925.txt,9.278
1037719165.txt,3.175
1038027690.txt,7.112
1038353689.txt,4.553
1038842251.txt,2.674
1038859764.txt,1.567
1041862404.txt,4.288
1042941949.txt,7.54
1043775215.txt,4.196
1044469169.txt,5.572
1045082703.txt,2.596
1047335806.txt,6.829
1047388489.txt,7.165
1047390562.txt,3.818
1047474776.txt,12.51
1047478548.txt,12.135
1047484387.txt,17.604
1047485263.txt,19.486
1047489122.txt,4.629
1047503776.txt,19.81
1048106475.txt,6.846
1048799107.txt,14.737
1049745840.txt,3.11
1051156418.txt,6.122
1051190249.txt,3.906
1051202354.txt,16.014
1051230500.txt,8.474
1051638938.txt,7.473
1051915601.txt,2.827
1052774789.txt,7.149
1053457075.txt,6.629
1053461261.txt,13.866
1053610494.txt,2.163
1053616711.txt,4.468
1054576147.txt,9.707
1054666269.txt,2.868
1054736277.txt,16.282
1054748574.txt,2.374
1054756929.txt,21.537
1054757526.txt,19.923
1055004012.txt,4.121
1055258297.txt,5.277
1055269567.txt,5.828
1055273033.txt,2.717
1055512559.txt,3.874
1056133160.txt,3.387
1056440026.txt,8.206
1056477710.txt,3.593
1056477985.txt,4.754
1056478635.txt,2.759
1056654269.txt,4.626
1056986548.txt,4.905
1057011929.txt,2.942
1057166231.txt,3.881
1057368583.txt,6.968
1057586225.txt,4.234
1057941657.txt,7.731
1057944829.txt,21.691
1058275977.txt,4.755
1058898765.txt,1.613
1058906971.txt,3.144
1059005592.txt,6.751
1059664704.txt,8.627
1059674663.txt,2.184
1059762275.txt,1.687
1060002347.txt,12.307
1060021835.txt,3.759
1060196763.txt,2.834
1061298033.txt,9.732
1061300885.txt,6.106
1061625894.txt,13.056
1062189235.txt,1.653
1062527448.txt,6.509
1062592331.txt,4.83
1062618881.txt,24.233
1062783293.txt,3.673
1062784268.txt,5.844
1063657189.txt,1.735
1064946297.txt,2.575
1065125462.txt,4.058
1065128595.txt,9.656
1065189366.txt,5.093
1065206624.txt,7.625
1065636937.txt,15.055
1065723391.txt,8.257
1065785323.txt,12.12
1066073000.txt,4.074
1066075033.txt,4.721
1066077412.txt,5.249
1066149334.txt,9.113
1066166844.txt,5.134
1066337021.txt,27.071
1067005233.txt,6.614
1067194064.txt,3.504
1067450707.txt,2.491
1067522573.txt,7.877
1067532918.txt,1.556
1067542015.txt,6.875
1067596623.txt,14.29
1068239573.txt,9.021
1068652882.txt,7.74
1069630979.txt,5.535
1073489714.txt,25.308
1073921187.txt,0.893
1074277559.txt,8.354
1074344124.txt,5.944
1074609944.txt,3.797
1074612429.txt,5.844
1075297872.txt,1.26
1075393544.txt,2.135
1075403821.txt,2.096
1075750656.txt,3.895
1075768111.txt,2.272
1075836638.txt,3.917
