No.,Object designation,Diameter,Impact date/time in UTC,IP,Close years
148,2022UL11,5,2103-10-24 21:40,0.00124069478908189,2096
150,2021SQ,7,2062-09-20 22:02,0.000273000273000273,2062
151,2007KO4,80,2046-11-23 22:02,0.00429823261276705,2030
152,2020WG5,10,2086-11-25 01:18,0.0002210433244916,2086
153,2010DG77,315,2066-01-05 18:31,0.000770320268517545,2032
154,2013GM3,20,2073-04-13 21:31,0.0000288001843211796,2028
159,2021EL3,6,2101-03-07 01:18,0.000785545954438335,2088
160,2021EO2,9,2037-03-25 05:52,0.0000540015120423372,2037
161,2016SA2,8,2120-09-25 20:01,0.000486144871171609,2110
166,2011EB74,15,2054-03-16 12:19,0.0000325002437518281,2033
168,2020BK3,15,2091-01-20 21:00,0.0000587026709715292,2091
169,2022YW6,6,2046-12-22 03:12,0.0000447007286218765,2046
170,2017PY26,120,2111-08-19 03:33,0.000288604030570254,2107
172,2015KG158,8,2071-05-14 21:29,0.000209030100334448,2045
176,2000LG6,6,2088-05-27 05:44,0.000797448165869218,2082
182,2019SJ,11,2095-09-16 20:50,0.00011001100110011,2062
183,2010XB,4,2036-11-30 06:03,0.000108003024084674,2036
187,2021RF16,6,2052-09-16 11:39,0.00024703557312253,2049
189,2020VN1,9,2115-11-03 04:45,0.000301023479831427,2115
190,2011SM173,10,2058-09-22 03:54,0.0000482020630482985,2058
193,2014OM207,5,2101-07-25 21:35,0.000646412411118293,2101
194,2021UT5,8,2096-10-30 04:21,0.000202020202020202,2075
195,2020ED,15,2096-04-15 17:55,0.0000563031360846799,2096
196,2005CC37,100,2117-01-13 15:54,0.0477915891481683,2117
200,2018NJ,10,2083-07-10 01:29,0.000133014099494546,2083
202,2017FN1,2.7,2033-03-20 22:58,0.000210039907582441,2033
203,2019LW4,12,2083-06-08 18:50,0.0000578001271602798,2083
205,2018XQ2,8,2091-01-06 08:43,0.000219010074463425,2068
206,2020GZ2,8,2049-04-20 00:47,0.0000595025586100202,2049
212,2010HV20,465,2116-05-05 13:50,0.0858977106838146,2116
213,2007UN12,6,2089-09-18 03:02,0.000460193281178095,2089
214,2022SA11,6,2097-09-18 05:30,0.000374111485222596,2076
215,2016CD30,10,2070-01-31 17:21,0.0000539025442000862,2056
216,2019SX,4,2077-09-21 08:08,0.000393081761006289,2046
218,2017SH33,700,2026-04-30 08:35,0.0333018648109539,2026
219,2018NW,10,2117-07-09 03:35,0.0000623014142421033,2067
220,2021FM2,3,2070-03-21 09:03,0.00092678405931418,2050
222,2020UO4,7,2120-10-20 13:26,0.00049800796812749,2118
224,2009CZ1,40,2058-02-19 01:03,0.0187581334156984,2058
225,2017UL7,50,2041-03-19 22:49,0.00282299546329906,2041
226,2022KV6,60,2070-05-27 10:05,0.00161325452269977,2070
227,2021XV,3,2045-11-30 05:26,0.000360100828231905,2045
228,2018GE2,14,2074-10-31 09:33,0.0000318005469694079,2060
231,2014QC391,11,2100-09-07 05:56,0.0000796051584142652,2085
239,2022KK2,7,2060-05-19 08:52,0.0000618008775724615,2060
241,2008KO,50,2052-06-01 14:22,0.000948977469654014,2049
247,2019NO2,8,2102-07-04 02:17,0.000154012012937009,2102
248,2020XA6,50,2073-12-11 08:38,0.00711853980756327,2057
250,2011BL45,13,2071-08-01 12:05,0.0000377002827521206,2050
251,2005NX55,140,2086-01-02 05:57,0.000255550537958787,2025
252,2013RO30,7,2090-09-04 21:18,0.000141003948110547,2083
254,2008ST,14,2116-09-25 15:45,0.0000613008030405198,2056
256,2019UT,9,2106-10-25 12:55,0.0000950028500855026,2103
259,2004GE2,190,2106-05-03 01:58,0.000244840407710121,2103
261,2022UT16,15,2105-10-25 17:44,0.000033500837520938,2083
262,2019NF7,9,2080-07-07 22:36,0.0000752049334436339,2080
